name	mpg	cylinders	displacement	horsepower	weight	acceleration	year	origin
amc matador (sw)	15.0	8	304.0	150.0	3892.0	12.5	1972	USA
chevrolet chevelle concours (sw)	13.0	8	307.0	130.0	4098.0	14.0	1972	USA
ford gran torino (sw)	13.0	8	302.0	140.0	4294.0	16.0	1972	USA
plymouth satellite custom (sw)	14.0	8	318.0	150.0	4077.0	14.0	1972	USA
volvo 145e (sw)	18.0	4	121.0	112.0	2933.0	14.5	1972	Europe
volkswagen 411 (sw)	22.0	4	121.0	76.0	2511.0	18.0	1972	Europe
peugeot 504 (sw)	21.0	4	120.0	87.0	2979.0	19.5	1972	Europe
renault 12 (sw)	26.0	4	96.0	69.0	2189.0	18.0	1972	Europe
ford pinto (sw)	22.0	4	122.0	86.0	2395.0	16.0	1972	USA
datsun 510 (sw)	28.0	4	97.0	92.0	2288.0	17.0	1972	Japan
toyouta corona mark ii (sw)	23.0	4	120.0	97.0	2506.0	14.5	1972	Japan
dodge colt (sw)	28.0	4	98.0	80.0	2164.0	15.0	1972	USA
toyota corolla 1600 (sw)	27.0	4	97.0	88.0	2100.0	16.5	1972	Japan
buick century 350	13.0	8	350.0	175.0	4100.0	13.0	1973	USA
amc matador	14.0	8	304.0	150.0	3672.0	11.5	1973	USA
chevrolet malibu	13.0	8	350.0	145.0	3988.0	13.0	1973	USA
ford gran torino	14.0	8	302.0	137.0	4042.0	14.5	1973	USA
dodge coronet custom	15.0	8	318.0	150.0	3777.0	12.5	1973	USA
mercury marquis brougham	12.0	8	429.0	198.0	4952.0	11.5	1973	USA
chevrolet caprice classic	13.0	8	400.0	150.0	4464.0	12.0	1973	USA
ford ltd	13.0	8	351.0	158.0	4363.0	13.0	1973	USA
plymouth fury gran sedan	14.0	8	318.0	150.0	4237.0	14.5	1973	USA
chrysler new yorker brougham	13.0	8	440.0	215.0	4735.0	11.0	1973	USA
buick electra 225 custom	12.0	8	455.0	225.0	4951.0	11.0	1973	USA
amc ambassador brougham	13.0	8	360.0	175.0	3821.0	11.0	1973	USA
plymouth valiant	18.0	6	225.0	105.0	3121.0	16.5	1973	USA
chevrolet nova custom	16.0	6	250.0	100.0	3278.0	18.0	1973	USA
amc hornet	18.0	6	232.0	100.0	2945.0	16.0	1973	USA
ford maverick	18.0	6	250.0	88.0	3021.0	16.5	1973	USA
plymouth duster	23.0	6	198.0	95.0	2904.0	16.0	1973	USA
volkswagen super beetle	26.0	4	97.0	46.0	1950.0	21.0	1973	Europe
chevrolet impala	11.0	8	400.0	150.0	4997.0	14.0	1973	USA
ford country	12.0	8	400.0	167.0	4906.0	12.5	1973	USA
plymouth custom suburb	13.0	8	360.0	170.0	4654.0	13.0	1973	USA
oldsmobile vista cruiser	12.0	8	350.0	180.0	4499.0	12.5	1973	USA
amc gremlin	18.0	6	232.0	100.0	2789.0	15.0	1973	USA
toyota carina	20.0	4	97.0	88.0	2279.0	19.0	1973	Japan
chevrolet vega	21.0	4	140.0	72.0	2401.0	19.5	1973	USA
datsun 610	22.0	4	108.0	94.0	2379.0	16.5	1973	Japan
maxda rx3	18.0	3	70.0	90.0	2124.0	13.5	1973	Japan
ford pinto	19.0	4	122.0	85.0	2310.0	18.5	1973	USA
mercury capri v6	21.0	6	155.0	107.0	2472.0	14.0	1973	USA
fiat 124 sport coupe	26.0	4	98.0	90.0	2265.0	15.5	1973	Europe
chevrolet monte carlo s	15.0	8	350.0	145.0	4082.0	13.0	1973	USA
pontiac grand prix	16.0	8	400.0	230.0	4278.0	9.5	1973	USA
fiat 128	29.0	4	68.0	49.0	1867.0	19.5	1973	Europe
opel manta	24.0	4	116.0	75.0	2158.0	15.5	1973	Europe
audi 100ls	20.0	4	114.0	91.0	2582.0	14.0	1973	Europe
volvo 144ea	19.0	4	121.0	112.0	2868.0	15.5	1973	Europe
dodge dart custom	15.0	8	318.0	150.0	3399.0	11.0	1973	USA
saab 99le	24.0	4	121.0	110.0	2660.0	14.0	1973	Europe
toyota mark ii	20.0	6	156.0	122.0	2807.0	13.5	1973	Japan
oldsmobile omega	11.0	8	350.0	180.0	3664.0	11.0	1973	USA
plymouth duster	20.0	6	198.0	95.0	3102.0	16.5	1974	USA
amc hornet	19.0	6	232.0	100.0	2901.0	16.0	1974	USA
chevrolet nova	15.0	6	250.0	100.0	3336.0	17.0	1974	USA
datsun b210	31.0	4	79.0	67.0	1950.0	19.0	1974	Japan
ford pinto	26.0	4	122.0	80.0	2451.0	16.5	1974	USA
toyota corolla 1200	32.0	4	71.0	65.0	1836.0	21.0	1974	Japan
chevrolet vega	25.0	4	140.0	75.0	2542.0	17.0	1974	USA
chevrolet chevelle malibu classic	16.0	6	250.0	100.0	3781.0	17.0	1974	USA
amc matador	16.0	6	258.0	110.0	3632.0	18.0	1974	USA
plymouth satellite sebring	18.0	6	225.0	105.0	3613.0	16.5	1974	USA
ford gran torino	16.0	8	302.0	140.0	4141.0	14.0	1974	USA
buick century luxus (sw)	13.0	8	350.0	150.0	4699.0	14.5	1974	USA
dodge coronet custom (sw)	14.0	8	318.0	150.0	4457.0	13.5	1974	USA
ford gran torino (sw)	14.0	8	302.0	140.0	4638.0	16.0	1974	USA
amc matador (sw)	14.0	8	304.0	150.0	4257.0	15.5	1974	USA
audi fox	29.0	4	98.0	83.0	2219.0	16.5	1974	Europe
volkswagen dasher	26.0	4	79.0	67.0	1963.0	15.5	1974	Europe
opel manta	26.0	4	97.0	78.0	2300.0	14.5	1974	Europe
toyota corona	31.0	4	76.0	52.0	1649.0	16.5	1974	Japan
datsun 710	32.0	4	83.0	61.0	2003.0	19.0	1974	Japan
dodge colt	28.0	4	90.0	75.0	2125.0	14.5	1974	USA
fiat 128	24.0	4	90.0	75.0	2108.0	15.5	1974	Europe
fiat 124 tc	26.0	4	116.0	75.0	2246.0	14.0	1974	Europe
honda civic	24.0	4	120.0	97.0	2489.0	15.0	1974	Japan
subaru	26.0	4	108.0	93.0	2391.0	15.5	1974	Japan
fiat x1.9	31.0	4	79.0	67.0	2000.0	16.0	1974	Europe
plymouth valiant custom	19.0	6	225.0	95.0	3264.0	16.0	1975	USA
chevrolet nova	18.0	6	250.0	105.0	3459.0	16.0	1975	USA
mercury monarch	15.0	6	250.0	72.0	3432.0	21.0	1975	USA
ford maverick	15.0	6	250.0	72.0	3158.0	19.5	1975	USA
pontiac catalina	16.0	8	400.0	170.0	4668.0	11.5	1975	USA
chevrolet bel air	15.0	8	350.0	145.0	4440.0	14.0	1975	USA
plymouth grand fury	16.0	8	318.0	150.0	4498.0	14.5	1975	USA
ford ltd	14.0	8	351.0	148.0	4657.0	13.5	1975	USA
buick century	17.0	6	231.0	110.0	3907.0	21.0	1975	USA
chevroelt chevelle malibu	16.0	6	250.0	105.0	3897.0	18.5	1975	USA
amc matador	15.0	6	258.0	110.0	3730.0	19.0	1975	USA
plymouth fury	18.0	6	225.0	95.0	3785.0	19.0	1975	USA
buick skyhawk	21.0	6	231.0	110.0	3039.0	15.0	1975	USA
chevrolet monza 2+2	20.0	8	262.0	110.0	3221.0	13.5	1975	USA
ford mustang ii	13.0	8	302.0	129.0	3169.0	12.0	1975	USA
toyota corolla	29.0	4	97.0	75.0	2171.0	16.0	1975	Japan
ford pinto	23.0	4	140.0	83.0	2639.0	17.0	1975	USA
amc gremlin	20.0	6	232.0	100.0	2914.0	16.0	1975	USA
pontiac astro	23.0	4	140.0	78.0	2592.0	18.5	1975	USA
toyota corona	24.0	4	134.0	96.0	2702.0	13.5	1975	Japan
volkswagen dasher	25.0	4	90.0	71.0	2223.0	16.5	1975	Europe
datsun 710	24.0	4	119.0	97.0	2545.0	17.0	1975	Japan
ford pinto	18.0	6	171.0	97.0	2984.0	14.5	1975	USA
volkswagen rabbit	29.0	4	90.0	70.0	1937.0	14.0	1975	Europe
amc pacer	19.0	6	232.0	90.0	3211.0	17.0	1975	USA
audi 100ls	23.0	4	115.0	95.0	2694.0	15.0	1975	Europe
peugeot 504	23.0	4	120.0	88.0	2957.0	17.0	1975	Europe
volvo 244dl	22.0	4	121.0	98.0	2945.0	14.5	1975	Europe
saab 99le	25.0	4	121.0	115.0	2671.0	13.5	1975	Europe
honda civic cvcc	33.0	4	91.0	53.0	1795.0	17.5	1975	Japan
fiat 131	28.0	4	107.0	86.0	2464.0	15.5	1976	Europe
opel 1900	25.0	4	116.0	81.0	2220.0	16.9	1976	Europe
capri ii	25.0	4	140.0	92.0	2572.0	14.9	1976	USA
dodge colt	26.0	4	98.0	79.0	2255.0	17.7	1976	USA
renault 12tl	27.0	4	101.0	83.0	2202.0	15.3	1976	Europe
chevrolet chevelle malibu classic	17.5	8	305.0	140.0	4215.0	13.0	1976	USA
dodge coronet brougham	16.0	8	318.0	150.0	4190.0	13.0	1976	USA
amc matador	15.5	8	304.0	120.0	3962.0	13.9	1976	USA
ford gran torino	14.5	8	351.0	152.0	4215.0	12.8	1976	USA
plymouth valiant	22.0	6	225.0	100.0	3233.0	15.4	1976	USA
chevrolet nova	22.0	6	250.0	105.0	3353.0	14.5	1976	USA
ford maverick	24.0	6	200.0	81.0	3012.0	17.6	1976	USA
amc hornet	22.5	6	232.0	90.0	3085.0	17.6	1976	USA
chevrolet chevette	29.0	4	85.0	52.0	2035.0	22.2	1976	USA
chevrolet woody	24.5	4	98.0	60.0	2164.0	22.1	1976	USA
vw rabbit	29.0	4	90.0	70.0	1937.0	14.2	1976	Europe
honda civic	33.0	4	91.0	53.0	1795.0	17.4	1976	Japan
dodge aspen se	20.0	6	225.0	100.0	3651.0	17.7	1976	USA
ford granada ghia	18.0	6	250.0	78.0	3574.0	21.0	1976	USA
pontiac ventura sj	18.5	6	250.0	110.0	3645.0	16.2	1976	USA
amc pacer d/l	17.5	6	258.0	95.0	3193.0	17.8	1976	USA
volkswagen rabbit	29.5	4	97.0	71.0	1825.0	12.2	1976	Europe
datsun b-210	32.0	4	85.0	70.0	1990.0	17.0	1976	Japan
toyota corolla	28.0	4	97.0	75.0	2155.0	16.4	1976	Japan
ford pinto	26.5	4	140.0	72.0	2565.0	13.6	1976	USA
volvo 245	20.0	4	130.0	102.0	3150.0	15.7	1976	Europe
plymouth volare premier v8	13.0	8	318.0	150.0	3940.0	13.2	1976	USA
peugeot 504	19.0	4	120.0	88.0	3270.0	21.9	1976	Europe
toyota mark ii	19.0	6	156.0	108.0	2930.0	15.5	1976	Japan
mercedes-benz 280s	16.5	6	168.0	120.0	3820.0	16.7	1976	Europe
cadillac seville	16.5	8	350.0	180.0	4380.0	12.1	1976	USA
chevy c10	13.0	8	350.0	145.0	4055.0	12.0	1976	USA
ford f108	13.0	8	302.0	130.0	3870.0	15.0	1976	USA
dodge d100	13.0	8	318.0	150.0	3755.0	14.0	1976	USA
honda accord cvcc	31.5	4	98.0	68.0	2045.0	18.5	1977	Japan
buick opel isuzu deluxe	30.0	4	111.0	80.0	2155.0	14.8	1977	USA
renault 5 gtl	36.0	4	79.0	58.0	1825.0	18.6	1977	Europe
plymouth arrow gs	25.5	4	122.0	96.0	2300.0	15.5	1977	USA
datsun f-10 hatchback	33.5	4	85.0	70.0	1945.0	16.8	1977	Japan
chevrolet caprice classic	17.5	8	305.0	145.0	3880.0	12.5	1977	USA
oldsmobile cutlass supreme	17.0	8	260.0	110.0	4060.0	19.0	1977	USA
dodge monaco brougham	15.5	8	318.0	145.0	4140.0	13.7	1977	USA
mercury cougar brougham	15.0	8	302.0	130.0	4295.0	14.9	1977	USA
chevrolet concours	17.5	6	250.0	110.0	3520.0	16.4	1977	USA
buick skylark	20.5	6	231.0	105.0	3425.0	16.9	1977	USA
plymouth volare custom	19.0	6	225.0	100.0	3630.0	17.7	1977	USA
ford granada	18.5	6	250.0	98.0	3525.0	19.0	1977	USA
pontiac grand prix lj	16.0	8	400.0	180.0	4220.0	11.1	1977	USA
chevrolet monte carlo landau	15.5	8	350.0	170.0	4165.0	11.4	1977	USA
chrysler cordoba	15.5	8	400.0	190.0	4325.0	12.2	1977	USA
ford thunderbird	16.0	8	351.0	149.0	4335.0	14.5	1977	USA
volkswagen rabbit custom	29.0	4	97.0	78.0	1940.0	14.5	1977	Europe
pontiac sunbird coupe	24.5	4	151.0	88.0	2740.0	16.0	1977	USA
toyota corolla liftback	26.0	4	97.0	75.0	2265.0	18.2	1977	Japan
ford mustang ii 2+2	25.5	4	140.0	89.0	2755.0	15.8	1977	USA
chevrolet chevette	30.5	4	98.0	63.0	2051.0	17.0	1977	USA
dodge colt m/m	33.5	4	98.0	83.0	2075.0	15.9	1977	USA
subaru dl	30.0	4	97.0	67.0	1985.0	16.4	1977	Japan
volkswagen dasher	30.5	4	97.0	78.0	2190.0	14.1	1977	Europe
datsun 810	22.0	6	146.0	97.0	2815.0	14.5	1977	Japan
bmw 320i	21.5	4	121.0	110.0	2600.0	12.8	1977	Europe
mazda rx-4	21.5	3	80.0	110.0	2720.0	13.5	1977	Japan
volkswagen rabbit custom diesel	43.1	4	90.0	48.0	1985.0	21.5	1978	Europe
ford fiesta	36.1	4	98.0	66.0	1800.0	14.4	1978	USA
mazda glc deluxe	32.8	4	78.0	52.0	1985.0	19.4	1978	Japan
datsun b210 gx	39.4	4	85.0	70.0	2070.0	18.6	1978	Japan
honda civic cvcc	36.1	4	91.0	60.0	1800.0	16.4	1978	Japan
oldsmobile cutlass salon brougham	19.9	8	260.0	110.0	3365.0	15.5	1978	USA
dodge diplomat	19.4	8	318.0	140.0	3735.0	13.2	1978	USA
mercury monarch ghia	20.2	8	302.0	139.0	3570.0	12.8	1978	USA
pontiac phoenix lj	19.2	6	231.0	105.0	3535.0	19.2	1978	USA
chevrolet malibu	20.5	6	200.0	95.0	3155.0	18.2	1978	USA
ford fairmont (auto)	20.2	6	200.0	85.0	2965.0	15.8	1978	USA
ford fairmont (man)	25.1	4	140.0	88.0	2720.0	15.4	1978	USA
plymouth volare	20.5	6	225.0	100.0	3430.0	17.2	1978	USA
amc concord	19.4	6	232.0	90.0	3210.0	17.2	1978	USA
buick century special	20.6	6	231.0	105.0	3380.0	15.8	1978	USA
mercury zephyr	20.8	6	200.0	85.0	3070.0	16.7	1978	USA
dodge aspen	18.6	6	225.0	110.0	3620.0	18.7	1978	USA
amc concord d/l	18.1	6	258.0	120.0	3410.0	15.1	1978	USA
chevrolet monte carlo landau	19.2	8	305.0	145.0	3425.0	13.2	1978	USA
buick regal sport coupe (turbo)	17.7	6	231.0	165.0	3445.0	13.4	1978	USA
ford futura	18.1	8	302.0	139.0	3205.0	11.2	1978	USA
dodge magnum xe	17.5	8	318.0	140.0	4080.0	13.7	1978	USA
chevrolet chevette	30.0	4	98.0	68.0	2155.0	16.5	1978	USA
toyota corona	27.5	4	134.0	95.0	2560.0	14.2	1978	Japan
datsun 510	27.2	4	119.0	97.0	2300.0	14.7	1978	Japan
dodge omni	30.9	4	105.0	75.0	2230.0	14.5	1978	USA
toyota celica gt liftback	21.1	4	134.0	95.0	2515.0	14.8	1978	Japan
plymouth sapporo	23.2	4	156.0	105.0	2745.0	16.7	1978	USA
oldsmobile starfire sx	23.8	4	151.0	85.0	2855.0	17.6	1978	USA
datsun 200-sx	23.9	4	119.0	97.0	2405.0	14.9	1978	Japan
audi 5000	20.3	5	131.0	103.0	2830.0	15.9	1978	Europe
volvo 264gl	17.0	6	163.0	125.0	3140.0	13.6	1978	Europe
saab 99gle	21.6	4	121.0	115.0	2795.0	15.7	1978	Europe
peugeot 604sl	16.2	6	163.0	133.0	3410.0	15.8	1978	Europe
volkswagen scirocco	31.5	4	89.0	71.0	1990.0	14.9	1978	Europe
honda accord lx	29.5	4	98.0	68.0	2135.0	16.6	1978	Japan
pontiac lemans v6	21.5	6	231.0	115.0	3245.0	15.4	1979	USA
mercury zephyr 6	19.8	6	200.0	85.0	2990.0	18.2	1979	USA
ford fairmont 4	22.3	4	140.0	88.0	2890.0	17.3	1979	USA
amc concord dl 6	20.2	6	232.0	90.0	3265.0	18.2	1979	USA
dodge aspen 6	20.6	6	225.0	110.0	3360.0	16.6	1979	USA
chevrolet caprice classic	17.0	8	305.0	130.0	3840.0	15.4	1979	USA
ford ltd landau	17.6	8	302.0	129.0	3725.0	13.4	1979	USA
mercury grand marquis	16.5	8	351.0	138.0	3955.0	13.2	1979	USA
dodge st. regis	18.2	8	318.0	135.0	3830.0	15.2	1979	USA
buick estate wagon (sw)	16.9	8	350.0	155.0	4360.0	14.9	1979	USA
ford country squire (sw)	15.5	8	351.0	142.0	4054.0	14.3	1979	USA
chevrolet malibu classic (sw)	19.2	8	267.0	125.0	3605.0	15.0	1979	USA
chrysler lebaron town @ country (sw)	18.5	8	360.0	150.0	3940.0	13.0	1979	USA
vw rabbit custom	31.9	4	89.0	71.0	1925.0	14.0	1979	Europe
maxda glc deluxe	34.1	4	86.0	65.0	1975.0	15.2	1979	Japan
dodge colt hatchback custom	35.7	4	98.0	80.0	1915.0	14.4	1979	USA
amc spirit dl	27.4	4	121.0	80.0	2670.0	15.0	1979	USA
mercedes benz 300d	25.4	5	183.0	77.0	3530.0	20.1	1979	Europe
cadillac eldorado	23.0	8	350.0	125.0	3900.0	17.4	1979	USA
peugeot 504	27.2	4	141.0	71.0	3190.0	24.8	1979	Europe
oldsmobile cutlass salon brougham	23.9	8	260.0	90.0	3420.0	22.2	1979	USA
plymouth horizon	34.2	4	105.0	70.0	2200.0	13.2	1979	USA
plymouth horizon tc3	34.5	4	105.0	70.0	2150.0	14.9	1979	USA
datsun 210	31.8	4	85.0	65.0	2020.0	19.2	1979	Japan
fiat strada custom	37.3	4	91.0	69.0	2130.0	14.7	1979	Europe
buick skylark limited	28.4	4	151.0	90.0	2670.0	16.0	1979	USA
chevrolet citation	28.8	6	173.0	115.0	2595.0	11.3	1979	USA
oldsmobile omega brougham	26.8	6	173.0	115.0	2700.0	12.9	1979	USA
pontiac phoenix	33.5	4	151.0	90.0	2556.0	13.2	1979	USA
vw rabbit	41.5	4	98.0	76.0	2144.0	14.7	1980	Europe
toyota corolla tercel	38.1	4	89.0	60.0	1968.0	18.8	1980	Japan
chevrolet chevette	32.1	4	98.0	70.0	2120.0	15.5	1980	USA
datsun 310	37.2	4	86.0	65.0	2019.0	16.4	1980	Japan
chevrolet citation	28.0	4	151.0	90.0	2678.0	16.5	1980	USA
ford fairmont	26.4	4	140.0	88.0	2870.0	18.1	1980	USA
amc concord	24.3	4	151.0	90.0	3003.0	20.1	1980	USA
dodge aspen	19.1	6	225.0	90.0	3381.0	18.7	1980	USA
audi 4000	34.3	4	97.0	78.0	2188.0	15.8	1980	Europe
toyota corona liftback	29.8	4	134.0	90.0	2711.0	15.5	1980	Japan
mazda 626	31.3	4	120.0	75.0	2542.0	17.5	1980	Japan
datsun 510 hatchback	37.0	4	119.0	92.0	2434.0	15.0	1980	Japan
toyota corolla	32.2	4	108.0	75.0	2265.0	15.2	1980	Japan
mazda glc	46.6	4	86.0	65.0	2110.0	17.9	1980	Japan
dodge colt	27.9	4	156.0	105.0	2800.0	14.4	1980	USA
datsun 210	40.8	4	85.0	65.0	2110.0	19.2	1980	Japan
vw rabbit c (diesel)	44.3	4	90.0	48.0	2085.0	21.7	1980	Europe
vw dasher (diesel)	43.4	4	90.0	48.0	2335.0	23.7	1980	Europe
audi 5000s (diesel)	36.4	5	121.0	67.0	2950.0	19.9	1980	Europe
mercedes-benz 240d	30.0	4	146.0	67.0	3250.0	21.8	1980	Europe
honda civic 1500 gl	44.6	4	91.0	67.0	1850.0	13.8	1980	Japan
subaru dl	33.8	4	97.0	67.0	2145.0	18.0	1980	Japan
vokswagen rabbit	29.8	4	89.0	62.0	1845.0	15.3	1980	Europe
datsun 280-zx	32.7	6	168.0	132.0	2910.0	11.4	1980	Japan
mazda rx-7 gs	23.7	3	70.0	100.0	2420.0	12.5	1980	Japan
triumph tr7 coupe	35.0	4	122.0	88.0	2500.0	15.1	1980	Europe
honda accord	32.4	4	107.0	72.0	2290.0	17.0	1980	Japan
plymouth reliant	27.2	4	135.0	84.0	2490.0	15.7	1981	USA
buick skylark	26.6	4	151.0	84.0	2635.0	16.4	1981	USA
dodge aries wagon (sw)	25.8	4	156.0	92.0	2620.0	14.4	1981	USA
chevrolet citation	23.5	6	173.0	110.0	2725.0	12.6	1981	USA
plymouth reliant	30.0	4	135.0	84.0	2385.0	12.9	1981	USA
toyota starlet	39.1	4	79.0	58.0	1755.0	16.9	1981	Japan
plymouth champ	39.0	4	86.0	64.0	1875.0	16.4	1981	USA
honda civic 1300	35.1	4	81.0	60.0	1760.0	16.1	1981	Japan
subaru	32.3	4	97.0	67.0	2065.0	17.8	1981	Japan
datsun 210 mpg	37.0	4	85.0	65.0	1975.0	19.4	1981	Japan
toyota tercel	37.7	4	89.0	62.0	2050.0	17.3	1981	Japan
mazda glc 4	34.1	4	91.0	68.0	1985.0	16.0	1981	Japan
plymouth horizon 4	34.7	4	105.0	63.0	2215.0	14.9	1981	USA
ford escort 4w	34.4	4	98.0	65.0	2045.0	16.2	1981	USA
ford escort 2h	29.9	4	98.0	65.0	2380.0	20.7	1981	USA
volkswagen jetta	33.0	4	105.0	74.0	2190.0	14.2	1981	Europe
honda prelude	33.7	4	107.0	75.0	2210.0	14.4	1981	Japan
toyota corolla	32.4	4	108.0	75.0	2350.0	16.8	1981	Japan
datsun 200sx	32.9	4	119.0	100.0	2615.0	14.8	1981	Japan
mazda 626	31.6	4	120.0	74.0	2635.0	18.3	1981	Japan
peugeot 505s turbo diesel	28.1	4	141.0	80.0	3230.0	20.4	1981	Europe
volvo diesel	30.7	6	145.0	76.0	3160.0	19.6	1981	Europe
toyota cressida	25.4	6	168.0	116.0	2900.0	12.6	1981	Japan
datsun 810 maxima	24.2	6	146.0	120.0	2930.0	13.8	1981	Japan
buick century	22.4	6	231.0	110.0	3415.0	15.8	1981	USA
oldsmobile cutlass ls	26.6	8	350.0	105.0	3725.0	19.0	1981	USA
ford granada gl	20.2	6	200.0	88.0	3060.0	17.1	1981	USA
chrysler lebaron salon	17.6	6	225.0	85.0	3465.0	16.6	1981	USA
chevrolet cavalier	28.0	4	112.0	88.0	2605.0	19.6	1982	USA
chevrolet cavalier wagon	27.0	4	112.0	88.0	2640.0	18.6	1982	USA
chevrolet cavalier 2-door	34.0	4	112.0	88.0	2395.0	18.0	1982	USA
pontiac j2000 se hatchback	31.0	4	112.0	85.0	2575.0	16.2	1982	USA
